Country_Code,year,GDP_PC_Constant_USD
GRL,2011,43781.46256413663
GRL,2012,44454.373549774806
GRL,2013,44131.25175974311
GRL,2014,46378.38303055273
GRL,2015,45351.13946753181
GRL,2016,47413.62247966359
GRL,2017,47647.64989250727
GRL,2018,49311.76706015874
GTM,1960,1490.7275153125356
GTM,1961,1509.8176639207384
GTM,1962,1517.981515061179
GTM,1963,1614.9249651705325
GTM,1964,1641.5544374816996
GTM,1965,1665.0113053123296
GTM,1966,1708.2051538293244
GTM,1967,1730.3030675897367
GTM,1968,1832.370360367778
GTM,1969,1870.1057560899171
GTM,1970,1927.8928905984717
GTM,1971,1986.6098587807523
GTM,1972,2082.296549719765
GTM,1973,2172.4082792323516
GTM,1974,2258.5337446499266
GTM,1975,2251.1800794987776
GTM,1976,2363.9520880867663
GTM,1977,2491.8520426940895
GTM,1978,2556.8525432662454
GTM,1979,2614.159951265855
GTM,1980,2645.622543001882
