,Country_Code,year,Tax_Revenue_real_USD,Tax_Revenue_real_USD_lag
2675,GNQ,2003,695531487.5813091,753395922.379219
2676,GNQ,2004,768069442.8288722,695531487.5813091
2677,GNQ,2005,937792381.9209628,768069442.8288722
2678,GNQ,2006,1258600578.3419983,937792381.9209628
2679,GNQ,2007,1132398394.396365,1258600578.3419983
2680,GNQ,2008,1376216835.8261898,1132398394.396365
2681,GNQ,2009,2287118504.9483733,1376216835.8261898
2682,GNQ,2010,1238898669.6087646,2287118504.9483733
2683,GNQ,2011,1219064671.6001377,1238898669.6087646
2684,GNQ,2012,1655007135.575159,1219064671.6001377
2685,GNQ,2013,1508154155.766528,1655007135.575159
2686,GNQ,2014,1669246903.5198336,1508154155.766528
2687,GNQ,2015,1850747050.3613837,1669246903.5198336
2688,GNQ,2016,946858025.7479231,1850747050.3613837
2689,GNQ,2017,840362670.3834717,946858025.7479231
2690,GNQ,2018,733412499.6335849,840362670.3834717
2691,GRC,1980,25700600691.901672,
2692,GRC,1981,25230341233.02518,25700600691.901672
2693,GRC,1982,27849303529.47549,25230341233.02518
2694,GRC,1983,27234868831.049107,27849303529.47549
2695,GRC,1984,29006081555.21683,27234868831.049107
2696,GRC,1985,29402127190.119976,29006081555.21683
2697,GRC,1986,32524700921.10558,29402127190.119976
2698,GRC,1987,33040872601.56204,32524700921.10558
2699,GRC,1988,31750111207.314995,33040872601.56204
2700,GRC,1989,30773710392.160477,31750111207.314995
2701,GRC,1990,34747450509.11033,30773710392.160477
2702,GRC,1991,36500553568.99009,34747450509.11033
2703,GRC,1992,38590086396.057,36500553568.99009
2704,GRC,1993,37017223910.42538,38590086396.057
2705,GRC,1994,38203381733.3511,37017223910.42538
2706,GRC,1995,39506613376.36599,38203381733.3511
2707,GRC,1996,41646033386.71068,39506613376.36599
2708,GRC,1997,44183215300.043755,41646033386.71068
2709,GRC,1998,49288735827.83492,44183215300.043755
2710,GRC,1999,52832426161.46087,49288735827.83492
2711,GRC,2000,58470093952.66585,52832426161.46087
2712,GRC,2001,57069910748.14125,58470093952.66585
2713,GRC,2002,57570101531.86406,57069910748.14125
2714,GRC,2003,56528691905.67618,57570101531.86406
2715,GRC,2004,58226720559.02668,56528691905.67618
2716,GRC,2005,61528749079.51449,58226720559.02668
2717,GRC,2006,64526195370.43518,61528749079.51449
2718,GRC,2007,67960444373.192986,64526195370.43518
2719,GRC,2008,66978641807.076065,67960444373.192986
2720,GRC,2009,64812507399.457344,66978641807.076065
2721,GRC,2010,63127492124.73229,64812507399.457344
2722,GRC,2011,62423680240.01245,63127492124.73229
2723,GRC,2012,62687411274.00082,62423680240.01245
2724,GRC,2013,61052131792.13378,62687411274.00082
